Source,Target
void,void
void,onDestroy
void,onRestoreInstanceState
void,invalidateCache
void,clearMutated
void,setCurrentIndex
void,onAnimationsEnded
void,setInternalImageTint
void,setThumbPosition
void,ensureCollapseButtonView
void,v0_0
void,removeChildrenForExpandedActionView
void,show
void,divideByAmount
void,addSingleError
void,minimizeGoal
void,setRelativePositioning
void,v24_1
void,applyToInternal
void,setChangedAfterNestedScroll
void,processorFinished
onDestroy,void
cleanup,dispatchTimeChanged
dispatchTimeChanged,setup
applyFrozenState,void
onRestoreInstanceState,setMenu
setMenu,setStyle
invalidateCache,mutate
animate,void
clearMutated,void
setCurrentIndex,void
onAnimationsEnded,void
findExpandedIndex,void
applySupportBackgroundTint,loadFromAttributes
loadFromAttributes,onSetBackgroundDrawable
loadFromAttributes,onSetButtonDrawable
loadFromAttributes,v0_0
loadFromAttributes,setAutoSizeTextTypeUniformWithConfiguration
onSetBackgroundDrawable,onSetBackgroundResource
onSetBackgroundResource,setInternalBackgroundTint
setInternalBackgroundTint,setSupportBackgroundTintList
setSupportBackgroundTintList,setSupportBackgroundTintMode
applyButtonTint,loadFromAttributes
onSetButtonDrawable,setSupportButtonTintList
setSupportButtonTintList,setSupportButtonTintMode
applySupportImageTint,void
setInternalImageTint,setSupportImageTintList
setSupportImageTintList,setSupportImageTintMode
applyCompoundDrawablesTints,autoSizeText
autoSizeText,loadFromAttributes
v0_0,v0_1
v0_1,onAsyncTypefaceReceived
v0_1,v0_2
onAsyncTypefaceReceived,onLayout
onLayout,onSetTextAppearance
onSetTextAppearance,setAllCaps
setAllCaps,setAutoSizeTextTypeUniformWithConfiguration
setAutoSizeTextTypeUniformWithConfiguration,setAutoSizeTextTypeUniformWithPresetSizes
setAutoSizeTextTypeUniformWithPresetSizes,setAutoSizeTextTypeWithDefaults
setAutoSizeTextTypeWithDefaults,setTextSize
setAutoSizeTextTypeWithDefaults,setTextSizeInternal
setListSelectionHidden,void
onLongPress,void
drawDividersHorizontal,drawDividersVertical
drawDividersVertical,drawHorizontalDivider
drawHorizontalDivider,drawVerticalDivider
drawVerticalDivider,layoutHorizontal
layoutHorizontal,layoutVertical
layoutVertical,measureChildBeforeLayout
measureChildBeforeLayout,measureHorizontal
measureHorizontal,measureVertical
measureVertical,void
doAfterTextChanged,doBeforeTextChanged
doBeforeTextChanged,ensureImeVisible
setThumbPosition,void
addChildrenForExpandedActionView,void
ensureCollapseButtonView,void
v0_2,v0_3
v0_3,void
removeChildrenForExpandedActionView,void
v0,v1_1
v1_1,hide
hide,void
hide,show
divideByAmount,invert
invert,updateFromSystem
addSingleError,displayReadableRows
displayReadableRows,displaySystemInformations
displaySystemInformations,void
minimizeGoal,void
clearStrengths,void
setRelativePositioning,void
addWidgetsToSet,updateUnresolvedWidgets
grow,void
v24_1,v24_2;
v24_2;,v24_3
v24_3,void
applyToInternal,void
invalidateAnchor,resetChangedAfterNestedScroll
resetChangedAfterNestedScroll,resetNestedScroll
resetNestedScroll,resetTouchBehaviorTracking
resetTouchBehaviorTracking,void
setChangedAfterNestedScroll,setLastChildRect
setLastChildRect,setNestedScrollAccepted
ensureJobId,void
ensureProcessorRunningLocked,void
processorFinished,void
