Function,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99
void,0.0033197466,0.0013251919,0.0027992297,0.004075027,-0.002623247,-0.0023273737,0.0027786086,-0.00034886008,-0.0040322887,0.0030079877,-0.0035068514,-0.0028588327,0.0039969855,0.004228639,0.0015910225,-0.0015298738,0.0016737661,0.00041523075,0.00071801327,-0.0047414512,-0.0015304695,-0.0031063035,-0.0045391335,0.0041200044,-0.00032627874,0.0032362537,-0.004098257,0.0015197264,0.0039558513,-0.0009364061,-0.00058948627,0.00023965082,0.005116732,-0.0009865345,0.0018642136,0.004891137,0.0031299642,0.002066681,-0.0021883962,0.0036807433,0.0014527758,-0.003314293,0.003976886,0.0017920557,-0.00051815907,-0.0035284546,0.0009788289,0.0041766195,0.0038238657,0.0005917417,-0.0026853916,-0.0026009446,-0.003154128,0.00096806395,0.00072943285,-0.00082294806,0.004557092,0.0021263876,0.0009293243,0.002340133,0.004192988,0.00021762078,-0.00011056251,0.0032326072,-0.004732525,0.0049518878,0.004153115,-0.00068076444,0.0043665566,-0.0015900854,-0.0026375633,0.0013634581,8.6097505e-05,-0.00089090347,0.0023887714,8.557337e-05,0.0031594776,-0.0019094461,-0.0031223574,0.0028896807,-0.0031027691,0.004558356,-0.0015258855,0.00075499044,-0.0047786543,0.00019132416,0.0010470725,0.0036314677,-0.0006666628,0.002447663,-0.0021582898,-0.0018435116,-0.00037587353,0.0019457047,0.0023164125,0.0014645593,0.0017348196,-0.0019166966,0.003249039,-0.0010827559
onDestroy,0.0009548466,0.0032846497,-0.0039692186,-6.599959e-06,-0.0030105342,-0.0008451143,-0.00069334224,-0.004533107,-0.004027669,0.0036175593,0.0020104856,0.0021059401,-0.003029275,-0.0014961982,-0.0034757387,0.001693722,0.0009554128,-0.0029716634,-0.0038639752,-0.0021674866,-0.00045775637,0.0017078061,-0.00091476337,0.003035818,0.00042354906,0.0013541522,0.0025962233,0.0034110325,0.0034427326,-0.004484872,-0.004099608,0.0050248685,0.004500115,-0.0009011575,0.00211075,-0.001691193,-0.0046650134,-0.0005409317,3.6423175e-05,-0.00329677,0.003786347,0.0020670772,0.0021352677,-0.003641312,0.0030046455,-0.0045141703,-0.0015599956,0.002558471,-0.0021599184,-0.00030958917,-0.004145999,0.00403351,-0.0042518554,-0.002217713,-0.00072790834,-0.004263619,0.003280409,0.002220433,-0.0033981246,0.0023734234,-0.002759007,-0.003418278,-0.0029095681,0.003988699,-0.0043934276,-0.004315747,-0.002208192,-0.0036063578,-0.002944888,0.0005058635,0.0011813655,-0.0041003255,-0.0043959133,-0.00029730765,0.00018069844,-0.0010640743,-0.0034915092,-0.0018013278,0.00059182866,-0.0036916293,0.0033646205,0.0025571184,-0.00412695,-0.0036801824,0.0020420456,-0.0035368898,0.00059138326,-0.00022609365,-0.00022087042,-0.0030775126,0.002056105,0.0019556263,0.0026175776,0.0021956323,-0.0010679783,-0.00359246,0.0046493276,-0.00049206836,-0.0010081751,0.0018946134
cleanup,-0.0014588211,0.004659703,-0.00044910717,-0.004424599,-0.0018027361,-0.00025681528,-0.0047419393,-0.0047053453,0.0024551149,-0.0029227254,-0.0007125598,0.0010898503,-0.0012429595,-0.0010259807,0.00037264053,-0.002547637,0.0011880109,-0.0024260336,0.0037205191,-0.0051530385,0.0036828066,0.003024732,0.0035452219,0.0028568166,0.00017792248,0.0017939776,-0.0033843198,0.0010636481,-0.003324284,0.001134488,0.0033625565,-0.0037988003,-0.004801225,0.0055089085,-6.240006e-05,0.0018840939,0.0030094194,-0.004508742,-0.00022583661,-0.00047455268,0.0032229926,0.0019937833,0.0044019567,0.0026952429,-0.0032620654,-0.0007084864,0.0043306933,0.0031841446,0.0017978998,0.0016832737,0.001471247,0.004679986,0.0034049966,0.0028570618,-0.0021427395,0.0013472501,0.0021040076,0.0019668282,0.00031400184,0.0033627,-0.0037678117,0.0015540259,0.0007829457,0.004106094,-0.00085534836,0.0025107826,-0.0016333306,-0.0029439519,0.003225179,0.0021886143,0.0018236923,-0.0013167976,0.0007115672,0.002945329,0.0042767767,0.0033151403,0.004430325,-0.0049064024,-0.00261975,0.0032694696,-0.0050646234,-0.003506043,-0.001649314,-0.00070304447,0.0030372867,-0.002919745,-0.002070998,0.00037906886,-0.0029371206,0.0038264354,0.0018389107,0.0012835026,0.00088011834,0.0039901114,0.003062055,0.0039689355,-0.0038865574,-0.00089952623,-0.0025615422,-0.0038071468
dispatchTimeChanged,0.004713592,0.002552587,0.002554603,0.0045333044,0.0032426838,-0.004837432,0.00067158404,-0.00061546377,-0.003538063,-0.0044079036,-0.0006758745,0.002129157,0.0013424439,-0.0031784032,-0.002541625,-0.00314293,0.0010038983,0.0025622577,-0.0011528236,0.0021370891,0.0026003213,0.0001698209,0.0050313673,0.0017497479,0.0035667415,-0.0029345264,0.0008993722,-0.0029686952,-0.0049271258,-5.7127196e-05,0.0046287854,0.0021085895,-0.0014236544,-0.004072616,0.0051402454,-0.0044888556,-0.0030515022,0.00084841356,0.0030753843,-0.0044077365,-0.0028548944,0.00075495464,0.0022214772,0.00028764002,-0.0011391481,-0.003943842,0.0040445775,-6.8306064e-05,0.0019408414,0.0014871837,0.0024638372,-0.0045707906,-0.0009343232,-0.0038802014,-0.0042293184,-0.0027338883,-0.0018889087,-0.0021264988,-0.00013562838,0.0008528626,0.0022721253,-0.0036682116,-0.00252728,0.0024194606,0.00412759,-0.00031260465,0.0024961669,0.003786075,-0.0045175627,-0.0041233404,0.0020574662,0.0012535261,0.0024391627,0.0012071026,0.00361404,-0.0018239453,-0.0033944685,-0.00071203103,0.0010804142,0.0037595818,-0.0037440872,0.004632606,-0.002923371,-0.0025429653,-0.0015037329,0.0020450554,-0.0044962675,0.0025752485,0.00051850535,0.00019720581,0.003134855,0.00097070524,0.0016012238,0.00035262332,-0.0016448068,0.002753606,-0.0048583066,-0.0008672223,0.001999412,0.003944439
setup,0.001705466,0.0020018306,-0.0010198447,-0.0011050027,-0.0048087034,-0.0031566692,-0.0024269598,0.004378353,0.0039871465,-0.0024042265,0.0033244872,-0.0010020417,0.0020768584,0.004156028,-0.0024694249,0.0013658908,-0.00055761856,-0.0014809388,-0.0022094864,0.0035774244,0.0012143998,-0.0014877258,0.004765338,-0.0042905197,0.001741164,-0.00017196765,-0.0017989625,0.0012733947,-0.0046824575,0.002117171,0.0019436309,-0.004683464,0.0025417372,-0.0025707951,-0.0011192764,-0.0011677282,0.00246459,-0.005141749,0.00049861864,0.0044295336,-0.0015516593,0.002795016,0.0031023107,0.0036370168,0.0013631993,-0.0030972038,0.00046510037,0.0031254604,0.0036712333,0.0014319067,0.002486734,0.0036652426,-0.00396497,0.0002853546,0.0026854293,-0.0023278473,-0.004268917,0.00027291037,0.0015888755,-0.004013098,-0.003970036,0.00060108805,-0.00039816982,0.0047612055,0.003575861,-0.0028069457,0.0011521695,0.0039337333,0.003484222,-0.0036692466,-0.00043039475,0.0014491932,0.004225264,0.0014230714,0.0023468577,0.00027405808,-0.0044820914,-7.3730735e-05,-0.0012221652,0.0028475772,-0.0009736681,0.004298077,0.0002951353,-0.0041501494,-0.0029664743,-0.00027456382,-0.0041403943,0.00244681,0.0023965251,-0.0017278694,-0.0029663346,-0.0013760364,-0.00025183987,-0.004407458,-0.0004246269,-0.002315379,-0.0032927478,-0.0024384798,-0.004119839,-0.0012092895
applyFrozenState,-0.0011294472,-0.0048936,0.0022776097,-0.0017792495,-0.0013219599,0.003642913,-0.0021149789,-0.000109174616,0.0010627424,0.0044389768,0.0008860266,0.0016100486,0.0028661052,0.0005010873,0.0045514335,-0.0018984562,0.00082568906,-0.00209997,-0.004779515,0.0007604735,-0.0017662935,0.004591259,-0.0019884752,0.003097532,-0.0010358453,0.002263726,-0.00069480954,-0.0007816275,0.0035812736,0.0024272283,0.0014565695,0.00438548,0.004795716,-0.0013673226,0.00019316336,0.0033592507,-0.0028809716,0.0010497033,-0.0007707645,-0.00045913123,0.0015833538,-0.0042938273,0.003206194,-0.00048638403,-0.0027681421,-0.0046536126,0.0021316367,-0.0031010085,0.0032104016,0.0031661117,-0.0017067372,-0.0028827896,0.0019726916,-0.0029123724,0.0005900972,-0.0007591989,0.004486207,0.0049487515,-0.005272425,0.0014019634,-0.0036735875,-0.0034398958,0.0023259553,0.0018355241,0.003670603,0.002026966,-0.0006122046,0.0010819994,-0.002390769,-0.0011464028,0.0022786178,-0.0041501937,-0.00091434596,-0.0036464198,-0.0024017186,0.0045463685,-0.0015849979,-0.0034483809,-0.0046870424,0.002656775,0.0036545673,-0.0029041336,-0.002369104,0.0002442304,-0.0006995591,0.0031888124,0.00017972094,-0.0011448024,-0.004625824,-0.0022077132,0.0035670914,-0.0035130437,0.000408072,0.0016883825,-0.0037208025,0.002755489,-0.004621805,-0.002918678,0.004809123,0.002645896
onRestoreInstanceState,0.0041075344,0.003551421,-0.0037918624,-0.0028513619,-0.003907935,-0.0012123795,-0.0019687114,0.0005064352,0.0015765531,-0.0040470078,3.3112954e-07,0.0030111126,-0.0012685312,-0.004184936,0.0023541301,-0.0021564828,0.00046828683,-0.0021544793,0.0033098226,-0.0032293904,0.0003686842,0.0013737975,0.0009004863,0.004332175,-0.0034943193,-0.004276252,0.0030929828,0.0032691255,-0.002593493,-0.0049248002,-0.0045145582,0.0022247874,-0.0031157995,-0.0023021803,-0.0044694045,0.0035828094,0.003580538,-0.0020715764,-0.0026190698,0.0034045195,0.0010003675,-0.001195356,0.0048847017,0.0015657379,-0.0027657102,0.0022600912,-0.0015068053,-0.0039205113,-0.0018395183,0.0046588997,-0.004419572,0.0025560274,0.0019966564,0.003741304,0.0008079013,0.0031052302,-0.0043378673,0.0030303071,0.00028189653,0.002759318,0.00029714333,-0.0016144001,0.0046132305,-0.00419645,-0.0025308118,0.0028736475,-0.00406442,-0.0032096065,-0.0010724945,0.004436728,0.004457467,-0.004201305,-0.0028084083,0.0035181672,0.0008682961,0.0044055535,0.0017609218,0.004238326,-0.003947581,-0.0029269808,0.0042075487,0.0012020937,-0.0015329495,0.003575554,0.0024663322,0.00283402,-0.0021035003,-0.00067017524,-0.001095352,0.0036504464,0.0005366698,0.0025524078,0.0027296788,-0.003167962,-0.00096369284,-0.0010245371,-0.0033841543,0.0015929868,0.0018292754,-0.0008089657
setMenu,0.0046751574,-0.0031675394,0.00013154453,-0.004111948,-3.288255e-05,-0.0050745993,0.0034538456,0.00029951826,0.0032340449,-0.004576448,-0.0030388606,-0.0009887165,-0.0005583454,0.0023613914,0.004845539,-0.0022892798,-0.004826565,0.0024897433,-0.0037849538,-0.004114198,-0.004753338,0.001869587,-0.0006883961,0.004466093,0.004002554,-0.0032888218,-0.000612404,0.0022789815,-0.0022913846,0.0034029756,-0.0046834582,0.0014525013,-0.0047974647,0.001958928,0.00039571745,0.0028669669,0.0037808076,-0.0022366825,0.0016021157,0.0040650074,-0.002590661,-0.0027085037,-0.0016552211,0.0018435512,-0.0047976165,-0.004527363,0.0042305053,-0.0025115623,-0.0047843717,0.004503886,0.0017755376,-0.0033100646,-0.0023339305,-0.003672801,-0.0049305605,0.0032650435,-0.0004014616,0.001092693,-0.0029690722,0.002622391,-0.0010212802,-0.003868783,0.0040104943,-0.0017337825,-0.0038328352,-0.004291197,-0.0013512777,-0.0016058516,0.0003384533,0.00019527538,0.0012569585,-0.0028518597,-0.0022543287,-0.0035745855,0.0051344126,0.00020707383,-0.0001479632,-0.0015464243,0.0025054854,-0.0032101397,0.0005248034,0.0024362183,-0.0016983044,-0.0038492759,0.0020921312,0.0035170694,-0.0023239828,-0.004063167,0.0024983746,-0.004645277,-0.0027664218,-0.0010863467,0.00088704133,0.001999221,0.0011521375,0.0044561126,-0.0035085827,-0.0028064887,0.0009050991,0.0036751116
setStyle,0.0014255032,0.0041965684,0.00090655754,0.0006506231,0.004780437,0.0029319911,-0.0036871277,-0.0006584934,-0.0020613847,0.00051735225,0.0021577044,-0.0010796747,-0.0017447823,-0.0025882714,-0.0039099683,0.004028823,0.003749149,0.003983739,0.004143079,0.0022072312,0.0039546546,0.001600347,0.002550885,0.0041913907,0.00021517233,0.003072891,0.0018071666,2.5649244e-06,-0.0029417335,-0.0035543076,-0.00028479926,0.003175206,0.004256153,-0.0024258327,0.0043349657,0.0010840186,0.0031650984,0.0044112303,-0.004810477,-0.0054052975,0.0037936524,-0.0012249302,0.0029534004,0.000121878016,-0.0010719481,-0.0028767972,0.0013479143,-0.0031790612,-0.0009478821,-0.0033363854,-0.003850646,-0.003954592,-0.003783258,0.0029766222,0.0036064272,-0.0026023004,-0.0040574903,0.00031776747,-0.00039139332,0.0003433404,0.0012505929,0.0039475113,-0.0005473366,-0.00471224,0.0044745253,-0.0007386294,0.00054478773,0.0047040717,-0.003373314,-0.004075056,0.0042666825,-0.0022107987,0.0011342517,0.00081618025,-0.0046285163,0.004954485,0.0049149008,0.0028297354,-0.0048837694,-0.001274991,0.004482086,-0.0033746024,0.0039504133,-0.0015191659,-0.0023615644,0.0034531667,-0.003201045,0.0039473874,-0.00017318093,0.0024002376,0.004976137,-0.00420444,0.0014398574,-0.0023254703,0.0025192082,0.0039960817,-5.0217106e-05,-0.0020867307,-0.00045871013,-0.0044306675
invalidateCache,-0.0015920427,0.0019422504,0.003027566,-0.003556761,-0.0023662553,-0.0033236595,-0.00095299276,-0.0020788813,0.0039233183,0.0026120513,-0.0010533466,0.004523927,-0.002433143,-0.004737863,0.0033765212,0.000914312,0.0026014019,0.0019303531,0.0017369945,-0.00090804306,0.0018916652,0.003803418,0.00012256141,0.0007481773,0.002880424,-0.00036665105,-0.0051998612,-0.0029054978,-0.0043925536,-0.0016842957,0.002323006,0.0023907297,-0.0040908665,-0.0045489687,0.0032420487,-0.001513043,1.2189702e-05,0.000160522,-0.003361737,-0.0021804706,-0.0046468833,-0.00091970473,0.0031578036,0.0029309767,0.0053256913,-0.0021485516,0.004313649,-0.0019547797,-0.0035342681,-0.0045529,-0.0042279735,0.00476455,-0.0019578456,0.00017846902,-0.0009768902,-3.955373e-05,-0.0028105269,-0.00079992966,-0.0032594518,-0.0029931837,-0.0023760265,0.0017712195,0.004520008,0.001831734,0.0012643787,0.0014004903,0.0038966117,0.004602512,0.0038063207,0.0037363207,-0.002666725,0.0017897957,0.0022906442,0.00249357,-0.0042129434,0.0030843846,-0.0007203968,-0.0049435548,0.0008093112,-0.0001315792,-0.0032931115,-0.00028154234,-0.0041419026,-0.001647615,-0.001840485,0.0024364684,0.0033048822,-0.0003498131,-0.0008548448,0.0024148405,0.0049837697,-0.003272328,-0.0037787948,0.0021313794,-0.00015783883,-0.00442214,-0.0022593758,0.0006276511,0.0042392435,0.0010790267
